state,submission_date,submission_date,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death
DE,5,2020,241926,223217.0,18709.0,4705,742.0,8515,8139.0,376.0,217,24.0
DE,5,2021,3333658,3107190.0,226468.0,3619,454.0,51051,46658.0,4393.0,36,1.0
DE,6,2020,319765,292506.0,27259.0,1977,38.0,13197,12162.0,1035.0,140,34.0
DE,6,2021,3281611,3054791.0,226820.0,868,136.0,50458,46149.0,4309.0,25,3.0
DE,7,2020,424884,395898.0,28986.0,3598,22.0,16577,14694.0,1883.0,76,12.0
DE,7,2021,2754760,2562756.0,192004.0,1053,171.0,42399,38762.0,3637.0,4,1.0
DE,8,2020,512570,482878.0,29692.0,2439,25.0,18450,16279.0,2171.0,20,2.0
DE,9,2020,579655,549748.0,29907.0,3141,89.0,18588,16370.0,2218.0,31,5.0
DE,10,2020,715544,681711.0,33833.0,4380,99.0,20649,18140.0,2509.0,74,10.0
DE,11,2020,899715,862009.0,37706.0,11232,222.0,22146,19460.0,2686.0,67,7.0
DE,12,2020,1502206,1444857.0,57349.0,22329,1006.0,26077,23041.0,3036.0,153,8.0
FL,1,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FL,1,2021,47021856,0.0,0.0,389172,118726.0,743830,0.0,0.0,4806,429.0
FL,2,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FL,2,2021,50178683,0.0,0.0,184454,55156.0,808632,0.0,0.0,4373,342.0
FL,3,2020,33927,0.0,0.0,6490,0.0,489,0.0,0.0,85,0.0
FL,3,2021,60418506,0.0,0.0,145346,39348.0,1002736,0.0,0.0,2573,170.0
FL,4,2020,653686,0.0,0.0,27200,0.0,19525,0.0,0.0,1183,0.0
FL,4,2021,63303673,0.0,0.0,172195,51420.0,1029258,0.0,0.0,1736,134.0
FL,5,2020,1388707,0.0,0.0,21074,0.0,59729,0.0,0.0,1183,0.0
FL,5,2021,69607724,0.0,0.0,90155,24496.0,1118776,0.0,0.0,1613,95.0
FL,6,2020,2579840,0.0,0.0,95017,0.0,89635,0.0,0.0,1054,0.0
FL,6,2021,69243584,0.0,0.0,50066,12345.0,1122853,0.0,0.0,1139,81.0
FL,7,2020,9620892,0.0,0.0,315249,3390.0,149207,0.0,0.0,3338,20.0
FL,7,2021,59872791,0.0,0.0,148059,38309.0,957336,0.0,0.0,757,68.0
FL,8,2020,17282051,0.0,0.0,151599,5130.0,287915,0.0,0.0,4344,47.0
FL,9,2020,19875958,0.0,0.0,81422,8402.0,385746,0.0,0.0,3130,85.0
